id,name,longitude,latitude,place_id,osm_type,osm_id,class,type,importance,display_name,place_rank,addresstype,bbox_south,bbox_north,bbox_west,bbox_east,addr_ISO3166-2-lvl4,addr_amenity,addr_city,addr_country,addr_country_code,addr_county,addr_house_number,addr_postcode,addr_road,addr_state,addr_suburb,addr_tourism,addr_town,addr_village,name_brand,name_name,name_name:ar,name_name:en,name_name:es,name_name:fa,name_old_name,name_old_name:en,name_ref,tag_addr_city_en,tag_addr_district_en,tag_addr_street_en,tag_addr_subdistrict_en,tag_barrier,tag_brand_ar,tag_brand_en,tag_brand_wikidata,tag_brand_wikipedia,tag_building,tag_contact_email,tag_contact_phone,tag_contact_website,tag_foot,tag_fuel_diesel,tag_fuel_octane_91,tag_fuel_octane_95,tag_fuel_octane_98,tag_lanes,tag_maxspeed,tag_maxspeed_hgv,tag_motorcycle,tag_oneway,tag_opening_hours,tag_operator,tag_self_service,tag_shop,tag_surface,tag_tracktype,tag_turn_lanes,tag_wikidata,tag_wikimedia_commons,tag_wikipedia,tag_wikipedia_ar,tag_wikipedia_en,lat,lon
209,Al Ain Zoo ,55.735982,24.173757,40300131,way,101518589,tourism,zoo,0.28179444113349733,"Al Ain Zoo, Al Ruqiy Street, Falaj Hazza', Al Ain, Abu Dhabi Emirate, United Arab Emirates",30,tourism,24.1618400,24.1847240,55.7224331,55.7450970,AE-AZ,,Falaj Hazza',United Arab Emirates,ae,Al Ain,,,Al Ruqiy Street,Abu Dhabi Emirate,,Al Ain Zoo,,,,حديقة العين للحيوانات,حديقة العين للحيوانات,Al Ain Zoo,,باغ‌وحش العین,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,Q3845012,Category:Al Ain Zoo,ar:حديقة حيوانات العين,حديقة حيوانات العين,Al Ain Zoo,24.1732514,55.7355864
116,Al Faqa East Petrol Station,55.631389,24.697341,40188243,node,11012454835,amenity,fast_food,4.5001144426596745e-05,"House of Tea, Tahnoun Bin Mohammed Al Nahyan Road, Margham, Al Hiyar, Al Faqa', Al Ain, Abu Dhabi Emirate, United Arab Emirates",30,amenity,24.6973160,24.6974160,55.6312470,55.6313470,AE-AZ,House of Tea,,United Arab Emirates,ae,Al Ain,,,Tahnoun Bin Mohammed Al Nahyan Road,Abu Dhabi Emirate,Margham,,Al Hiyar,,,House of Tea,,,,,,,,,,,,,,,,,,houseoftea1992@gmail.com,+971 3 733 1708;+971 54 566 1018,https://houseoftea.ae/,,,,,,,,,,,24/7,House of Tea,,,,,,,,,,,24.6973660,55.6312970
119,Al Faqa West Meeting Point,55.620361,24.716972,40314953,way,259928729,highway,tertiary,0.05335933394369417,"Sawdah Bint Zam'ah Street, Al Fagaa', Al Faqa', Al Ain, Abu Dhabi Emirate, United Arab Emirates",26,road,24.7130888,24.7287136,55.6190861,55.6218630,AE-AZ,,,United Arab Emirates,ae,Al Ain,,,Sawdah Bint Zam'ah Street,Abu Dhabi Emirate,Al Fagaa',,Al Faqa',,,شارع سودة بنت زمعة,شارع سودة بنت زمعة,Sawdah Bint Zam'ah Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,24.7166329,55.6208377
134,Al Faqa West Petrol Station,55.632959,24.691043,40163962,node,914472924,amenity,fuel,4.5001144426596745e-05,"ADNOC, Tahnoun Bin Mohammed Al Nahyan Road, Al Faqa', Al Ain, Abu Dhabi Emirate, United Arab Emirates",30,amenity,24.6909330,24.6910330,55.6330044,55.6331044,AE-AZ,ADNOC,,United Arab Emirates,ae,Al Ain,,,Tahnoun Bin Mohammed Al Nahyan Road,Abu Dhabi Emirate,,,Al Faqa',,أدنوك,ادنوك,ادنوك,ADNOC,,,,,,,,,,,أدنوك,ADNOC,Q166729,en:Abu Dhabi National Oil Company,,,,,,,,,,,,,,,,ADNOC,,,,,,,,,,,24.6909830,55.6330544
186,Al Faqa to Al Qudra meeting point,55.556450,24.725243,40391894,node,11799906834,place,suburb,0.14671666819256882,"Al Fagaa, Al Fagaa', Dubai, United Arab Emirates",19,suburb,24.7308956,24.7708956,55.5555210,55.5955210,AE-DU,,,United Arab Emirates,ae,,,,,Dubai,Al Fagaa,,,,,الفقع,الفقع,Al Fagaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7508956,55.5755210
214,Al Faqaa DXB,55.489447,24.639624,40145414,way,247791798,highway,secondary,0.05337833447775994,"Al Faqa' Road, Al 'Ajban, Al Ain, Abu Dhabi Emirate, United Arab Emirates",26,road,24.6127303,24.6895842,55.1430444,55.5992187,AE-AZ,,Al 'Ajban,United Arab Emirates,ae,Al Ain,,,Al Faqa' Road,Abu Dhabi Emirate,,,,,,طريق الفَقع,طريق الفَقع,Al Faqa' Road,,,,,E14,,,,,,,,,,,,,,,,,,,,100,,,no,,,,,,,,,,,,,24.6377726,55.4898847
216,Al Faqaa Meeting point,55.490250,24.639050,40145414,way,247791798,highway,secondary,0.05337833447775994,"Al Faqa' Road, Al 'Ajban, Al Ain, Abu Dhabi Emirate, United Arab Emirates",26,road,24.6127303,24.6895842,55.1430444,55.5992187,AE-AZ,,Al 'Ajban,United Arab Emirates,ae,Al Ain,,,Al Faqa' Road,Abu Dhabi Emirate,,,,,,طريق الفَقع,طريق الفَقع,Al Faqa' Road,,,,,E14,,,,,,,,,,,,,,,,,,,,100,,,no,,,,,,,,,,,,,24.6379159,55.4905063
206,Al Faya Deflation Point - AUH,54.900973,24.232362,40219023,way,88818030,highway,track,0.05337833447775994,"Lane 2801, Al Haffar, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.2307972,24.2359280,54.9009548,54.9195380,AE-AZ,,Al Haffar,United Arab Emirates,ae,Abu Dhabi,,,Lane 2801,Abu Dhabi Emirate,,,,,,درب 2801,درب 2801,Lane 2801,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,grade2,,,,,,,24.2323541,54.9010548
160,Al Faya Meeting Point,54.901081,24.232510,40219023,way,88818030,highway,track,0.05337833447775994,"Lane 2801, Al Haffar, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.2307972,24.2359280,54.9009548,54.9195380,AE-AZ,,Al Haffar,United Arab Emirates,ae,Abu Dhabi,,,Lane 2801,Abu Dhabi Emirate,,,,,,درب 2801,درب 2801,Lane 2801,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,grade2,,,,,,,24.2325112,54.9010756
210,Al Faya North (Entrance to Abdulla Farm),55.006307,24.395520,43373493,way,639448038,highway,trunk,0.05337833447775994,"Al Fayah Road, Al 'Asheesh, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.3799104,24.4031612,54.9817429,55.0142683,AE-AZ,,Al 'Asheesh,United Arab Emirates,ae,Abu Dhabi,,,Al Fayah Road,Abu Dhabi Emirate,,,,,,طريق الفَاية,طريق الفَاية,Al Fayah Road,,,طريق شاحنات سيح شعيب - الفاية,Seih Shuaib - Al Faya Truck Road,E75,,,,,,,,,,,,,,no,,,,,2,100,80,,,,,,,asphalt,,,,,,,,24.3964896,55.0056397
